wavelength_nm,mean,std,min,max,n_pixels,class_name
1546.8,0.0724848559082708,0.028439296867311514,0.0154,0.2728,29391,forest
1552.24,0.07453145180497407,0.02913658002479102,0.0156,0.2766,29391,forest
1557.68,0.07715844986560487,0.03010108319014459,0.016,0.2808,29391,forest
1563.12,0.07719057874859704,0.029976109678455026,0.0163,0.2785,29391,forest
1568.56,0.08243531012895108,0.03188964372918194,0.0171,0.2917,29391,forest
1574.0,0.08243996121261554,0.03176402387145166,0.018,0.2874,29391,forest
1579.44,0.08323205062774366,0.03201791757026354,0.0176,0.2902,29391,forest
1584.88,0.08454748392365051,0.0324691995655875,0.0175,0.2903,29391,forest
1590.32,0.08677095369330767,0.03319705698531354,0.0182,0.297,29391,forest
1595.76,0.08651521894457498,0.03302693325036397,0.019,0.2966,29391,forest
1601.2,0.09221953659283447,0.035095423374279865,0.0192,0.3126,29391,forest
1606.64,0.09410293627300735,0.03568633857216661,0.0207,0.318,29391,forest
1612.08,0.09813883501752266,0.03705471003371337,0.0206,0.3312,29391,forest
1617.52,0.09489053111496716,0.03566896418860768,0.0207,0.3188,29391,forest
1622.96,0.09722657616277032,0.036367722599429275,0.0212,0.3245,29391,forest
1628.4,0.09961667517267263,0.037127692982040966,0.0217,0.331,29391,forest
1633.84,0.09990100370861847,0.037123203821965024,0.0221,0.3305,29391,forest
1639.28,0.10255032492940017,0.03797419239434345,0.0232,0.3383,29391,forest
1644.72,0.10278659113334003,0.03800863145177967,0.0232,0.3398,29391,forest
1650.17,0.10298000748528476,0.038036755067253285,0.0229,0.3393,29391,forest
1655.61,0.10349633561294297,0.038204833583337316,0.0236,0.3398,29391,forest
1661.05,0.10350713483719587,0.038194795429279026,0.0231,0.3405,29391,forest
1666.49,0.10310257561838661,0.038051190442356705,0.0231,0.337,29391,forest
1671.93,0.10305364227144406,0.038115414497375356,0.0221,0.3382,29391,forest
1677.37,0.1040736960293962,0.03849274976005037,0.0213,0.3426,29391,forest
1682.81,0.10354389779184113,0.038314085230086656,0.0217,0.3403,29391,forest
1688.25,0.10100739341975405,0.03745234342490007,0.021,0.3332,29391,forest
1693.69,0.09911988023544623,0.036873723424816734,0.0215,0.3297,29391,forest
1699.13,0.09745707189275625,0.03633664075420308,0.0221,0.3253,29391,forest
1704.57,0.09533193154367084,0.0356465471443675,0.021,0.3206,29391,forest
1710.01,0.09328654690211322,0.03500154870468739,0.0205,0.3143,29391,forest
1715.45,0.09221027525432991,0.03469295221719405,0.0196,0.3116,29391,forest
1720.89,0.09003572522200716,0.033886370812812816,0.0178,0.3025,29391,forest
1726.33,0.08864596304991357,0.033461267060297735,0.0189,0.3013,29391,forest
1731.77,0.08600764859991175,0.03246173455463887,0.0181,0.2928,29391,forest
1737.21,0.08922106767377727,0.03368258738962163,0.0182,0.3012,29391,forest
1742.65,0.08562491919294964,0.0324439439461562,0.0179,0.291,29391,forest
1748.09,0.08621965907930988,0.03276427848912114,0.0179,0.2932,29391,forest
1753.54,0.08409568575414382,0.032037292318698764,0.0181,0.2905,29391,forest
1758.98,0.08182146235242142,0.03128964443679219,0.0163,0.2833,29391,forest
1764.42,0.0808522030553573,0.030902039579647496,0.0145,0.282,29391,forest
1769.86,0.07391850566499893,0.028394790557758044,0.0146,0.259,29391,forest
1775.3,0.07481662413664036,0.028708092226531978,0.015,0.2595,29391,forest
1780.74,0.06988528120853338,0.02671598881331643,0.0147,0.2422,29391,forest
1786.18,0.06792915518355917,0.025953192789235004,0.0144,0.2395,29391,forest
1791.62,0.06593994760300731,0.025182315289069744,0.0141,0.2371,29391,forest
1797.06,0.06384685447926253,0.024372927731733097,0.0136,0.2325,29391,forest
1802.5,0.06097637371984668,0.02324472949434851,0.013,0.2248,29391,forest
1807.94,0.05034057024259127,0.018932098348436704,0.0106,0.1857,29391,forest
1813.38,0.04008944574869864,0.014850295055021808,0.0084,0.1476,29391,forest
1818.82,0.030224582355142544,0.011063674178604979,0.0063,0.1239,29391,forest
1824.26,0.020746575482290718,0.00775396728148394,0.0042,0.1213,29391,forest
1829.7,0.018606583648055532,0.007072257008365992,0.0038,0.1188,29391,forest
1835.14,0.01761300057840839,0.006751156876600714,0.0035,0.1164,29391,forest
1840.58,0.01664725596270955,0.006445626311189437,0.0033,0.114,29391,forest
1846.02,0.015708750978190626,0.006155772758375106,0.0031,0.1118,29391,forest
1851.46,0.01489610084719816,0.005906763768970775,0.003,0.1096,29391,forest
1856.91,0.014366983090061623,0.00573267883996872,0.0028,0.1075,29391,forest
1862.35,0.013847827566261791,0.005562716500223731,0.0027,0.1055,29391,forest
1867.79,0.01333675955224385,0.005397386879806557,0.0026,0.1035,29391,forest
1873.23,0.012834639855738086,0.005235795486626383,0.0025,0.1015,29391,forest
1878.67,0.012291841039774081,0.005067485514666237,0.0024,0.0995,29391,forest
1884.11,0.011737521690313378,0.00489901977224186,0.0023,0.0975,29391,forest
1889.55,0.01119457316865707,0.004736059913608309,0.0021,0.0955,29391,forest
1894.99,0.010664417678881275,0.004578352944662421,0.002,0.0936,29391,forest
1900.43,0.010174903882140809,0.0044301998381298955,0.0019,0.0916,29391,forest
1905.87,0.010011673641590963,0.004341038509118658,0.0019,0.0897,29391,forest
1911.31,0.009838185158722075,0.004252476550801847,0.0018,0.0878,29391,forest
1916.75,0.009654819502568876,0.004163307759595056,0.0018,0.0859,29391,forest
1922.19,0.009549886019529774,0.004094297219500769,0.0017,0.084,29391,forest
1927.63,0.009554931781838036,0.0040532872105534115,0.0016,0.0822,29391,forest
1933.07,0.009534343846755862,0.0040126414452987934,0.0016,0.0805,29391,forest
1938.51,0.009487319247388616,0.003971160855437406,0.0015,0.0788,29391,forest
1943.95,0.009414153992718763,0.00392795111959473,0.0014,0.0772,29391,forest
1949.39,0.009356891565445197,0.0038978515540541124,0.0013,0.0755,29391,forest
1954.83,0.009790279337212094,0.004070594109016782,0.0012,0.0739,29391,forest
1960.28,0.010147660848559106,0.004244047676845675,0.0011,0.0722,29391,forest
1965.72,0.010426351604232557,0.004411267011633429,0.001,0.0705,29391,forest
1971.16,0.01032674968527788,0.004418273667932334,0.0008,0.0688,29391,forest
1976.6,0.010092661018679125,0.004372673452189994,0.0006,0.067,29391,forest
1982.04,0.009956347181109843,0.00438844935001311,0.0004,0.0666,29391,forest
